isbn13,title,sell px,offers,90d,stock,asr
9780747806837,British Soldier first world war,5.3,9,2,1016,494084
9780008356859,British army challenge book,5.39,24,75,158,19585
9780711239616,British library old maps writing set,12.99,2,2,1003,1725423
9780233005546,Brontes treasury,8.14,4,2,1005,850318
9781783411719,Bug bites glow in the dark,10.8,2,0,3,7174409
9781847809155,Build a Butterfly 3D model,4.83,6,0,24,3758936
9781488909542,Build best behaviour,6.79,4,0,141,4448834
9788868605704,Build the Titanic 3D,8.12,17,4,1175,266438
9781591866817,Building second hand stuff,8.9,15,9,83,355771
9781780336060,Bully beef and boiled sweets,9.47,10,2,100,1451835
9781787720985,Busy Farm,9.98,5,0,1,2000000
9781474725071,Butterflies  (Amstutz),7.74,2,0,19,12964854
9781910258682,Butterflies and bug gift wrap,16.75,1,2,0,1282295
9780753731161,Calligrapher's colouring book,6.08,2,4,10,1160127
9781473860490,Canal pioneers,10.24,10,2,1013,1150614
9781843915331,Candy cookbook,3.79,10,1,1238,2450177
9781845849337,Car-Tastrophes,4.23,15,2,230,989695
9781786178398,"Castle, storybook, building and playmat",9.99,3,0,1299,2000000
9780857809186,Caterpillar finger puppet,5.99,2,0,3,2819769
9781910821091,Cathedrals and Abbeys,7.72,9,6,1234,125414
9781906761561,Change your life one day at a time,7.78,11,2,23,572665
9780008314293,Cheddar gorge,8.78,2,5,11,271485
9781406270518,Child's history life in Tudor Britain,6.79,5,2,4,870006
9781406270495,Child's history of Britain Life in Angl-Saxon Britain,9.14,11,3,267,670806
9781786178442,Children's world atlas,8.19,15,3,1361,1419237
9781783420605,Childrens encyclopedia of Earth,19.99,1,1,9,427825
9781783612284,Choosing and looking after your horse,10,1,2,2,939226
9780330520546,Christmas Carols,3.99,1,1,2,1308542
9781851497409,Christmas Crackers,8.78,4,3,240,420889
9780008308162,Christmas with Good Housekeeping,6.09,26,32,1132,71861
9781780552798,Christmas world of stickers,4.92,2,1,7,71861
9780752462042,Classic Military Vehicle story,5.9,15,0,71,3177684
9780760355190,Classic creations embroidery,15,3,1,3,1814957
9781843652151,Classic nursery tales,4.99,3,0,1006,8038734
9781844257089,Classic ships,3.51,10,0,159,3910682
9781473858848,Coal mine disasters,9.97,6,14,1114,102895
9781785249235,Coffee shopping list,5.99,2,0,33,2331577
9780261674028,Collins Birds,3.75,14,3,304,418279
9780261674042,Collins Butterflies and moths,3.8,10,2,2116,365977
9780008271176,Collins Children's dictionary,10.65,17,29,2277,1815
9780007841431,Collins Dinosaurs,4.29,6,0,119,5892666
9780007236862,Collins complete guide British Birds,10.98,10,838,4153,2625
9781847808844,Colour in the Queen,4.29,7,0,159,2027293
9780451496560,Colour me Jane,9.99,2,16,8,196342
9781409163718,Colour me Mindful butterflies,8.99,1,5,5,398236
9781631581717,Complete tales peter rabbit,7.42,13,3,395,179448
9780857621474,Complete watercolour,12.4,4,2,10,922594
9781409347019,Computer coding for kids,5.78,11,15,1153,203932
9780241209738,Computer coding games for children,7.47,6,5,1117,236335
9780241241332,Computer coding projects for kids,4.92,8,6,1192,472820
9781407511344,Concise guide Seashore,7.7,3,0,6,3439470
9781405488020,Concise guide weather,5.99,6,1,7,1910600
9780750939805,Concorde story,4.99,17,11,1187,272358
9781782099765,Convertible playbook farm,9.8,6,2,163,440248
9781741964363,Cooking for Christmas,7.75,3,2,22,920478
9780008245054,Cops and Robbers paperback,7.49,16,13,1529,406646
9781902915340,Creative fun Roman activity,5.91,11,9,1168,29119
9781848321700,Cross Channel and short sea ferries,7.28,15,4,37,648761
9781786178985,Curious questions and answers Dinosaurs,7.99,9,2,312,422981
9781786177711,Curious questions and answers My Body,7.99,9,14,1311,83180
9781786177728,Curious questions and answers Our Ocean,7.99,14,4,1414,698570
9781786174444,Curious questions and answers Our Planet,7.97,3,4,1299,244628
9781789890730,Curious questions and answers Plants,9.99,2,0,1099,1528403
9781786174451,Curious questions and answers Science,7.99,14,2,1411,1812407
9781786174437,Curious questions and answers Solar System,5.99,18,6,1251,101647
9781789890754,Curious questions and answers The Moon,9.99,3,1,1100,1584363
9781789890778,Curious questions and answers Weather,8.78,12,1,1209,736135
9781787721173,Cute foil art,7.99,1,3,36,688421
9780749572549,Cycling in Wales,6.29,1,0,9,1287892
9781409374435,DK Castles and Knights sticker,5.39,2,0,5,1585110
9780241228463,DK Skeleton/poster,14.83,2,5,7,547950
9781409383390,DK Story of the Titanic,7.55,30,53,1166,24419
9780241331392,DK findout Animals,6.79,3,0,13,2000000
9780857332028,Daily mirror Loch Ness monster & other unexplained mysteries,7.82,7,0,1206,1678928
9780233005362,Darwin the man,6.07,8,2,159,968478
9781911130376,De Cipher codes,5.99,5,2,1018,36573
9780857836229,Diabetes Weight Loss Cookbook,10.99,18,1139,1190,1702
9781786178954,Digger playpack,8.97,3,0,304,2875233
9780955272370,Digging for victory,9.79,5,5,131,574238
9781786175212,Dinosaur adventure,8.79,6,1,317,1502119
9781787722040,Dinosaur don't open the box,7.71,5,0,0,2000000
9781788103985,Dinosaur land push pull turn,10.23,6,4,17,1034288
9781786174048,Dinosaur puzzle and colour playpack,6.13,5,0,421,3443627
9781782403999,Dinosaurs in 30 seconds,7.98,3,1,19,1401668
9781847808264,Discover the Roman Empire,5.43,4,3,159,351082
9781783124121,Discovering Titanic hardback,9.78,5,2,1009,969629
9781909815421,Do ahead Christmas,7.57,14,3,1674,502424
9781910562413,Do you remember the 1940's,6.72,4,2,2149,1612366
9781910562451,Do you remember the 1980's,6.72,4,2,1768,914953
9781910562444,Do you remember 1970's,6.72,5,2,2144,1016517
9781787721135,Dolly dressing girls rule,7.79,10,0,1011,5062459
9781906032746,Don't even think about it,6.17,5,2,6,1537106
9781786707666,Dot to Dot sticker farm animals,3.11,11,0,2,5090898
9781784285357,Dot to dot around the world,3,5,2,80,1214588
9781405270540,Doughnuts for a dragon,4.54,20,24,3164,24442
9781911509134,Dress up Jane Austen,6.59,14,3,1159,319811
9780857332967,Edwardian housewife's companion,5.99,4,1,19,1102833
9781783120093,Egyptworld discover the wonders,6.7,10,0,122,2168136
9780857809179,Elephant finger puppet,4.8,1,0,8,2963859
9781911595076,"Elizabeth, Queen and Crown",7,12,2,4117,982250
9781445410388,Encyclopedia British History,9.98,5,0,6,3840552
9781783421008,Encyclopedia herb gardening,5.26,5,3,14,1077149
9780752491103,English castle story,5.02,16,2,99,1590622
9780603573767,Enid Blyton Magic Faraway tree treasury,6.99,3,2,9,605116
9781783831531,Evacuees,8.25,13,3,18,439470
9781783419296,F is for farm,7.34,17,0,341,3928617
9781787720367,Fairy magic,3.29,4,1,4,1165842
9781908005465,Fairy tale knits,12,6,3,20,410804
9781631062056,Fairy tales of Hans Christian Anderson box,13.33,3,3,22,210791
9781474926898,Fairy unicorn Magic forest,3.92,18,15,921,117118
9781474926904,Fairy unicorn cloud castle,5.22,17,31,2192,99978
9781474926928,Fairy unicorn enchanted river,6.27,6,11,23,186180
9781474926942,Fairy unicorn star spell,5.22,17,21,1674,32982
9781848990081,Family camping cookbook,9.4,15,24,210,244866
9781781590157,Famous brand names,5.98,8,2,1154,661896
9781786178411,"Farm Storybook, building and playmat",7.07,3,0,302,6461783
9781909645899,Farm sticker book scribblers,4.99,2,2,10,1529686
