date/time,type,pid,description,quantity,fulfilment,product sales,postage credits,selling fees,fbsp fees,total
30 Jan 2021 13:49:57 UTC,Order,H5-OUX2-IQJH,The Devil's Graveyard: 3 (The Bourbon Kid Trilogy),1,Partner,7.99,0,-2.22,-2.21,3.56
30 Jan 2021 15:47:04 UTC,Order,HH-2XHR-EF5E,Jiu Jitsu for All: Brown Belt to Black Belt,1,Partner,6.78,0,-2.04,-1.76,2.98
30 Jan 2021 16:01:12 UTC,Order,04-UGMK-IE1W,"For Richer, For Poorer: Confessions of a Player",1,Partner,5.25,0,-1.8,-2.21,1.24
30 Jan 2021 16:13:46 UTC,Order,B9-86A3-JGN8,Secret Muses: The Life of Frederick Ashton,1,Partner,15.21,0,-3.33,-2.49,9.39
30 Jan 2021 16:33:50 UTC,Order,KJ-YEMT-HKAM,We're the Famous Man United - Old Trafford in the '80s: The Players' Stories,1,Partner,5,0,-1.77,-1.66,1.57
30 Jan 2021 17:13:37 UTC,Order,P5-NXMZ-X7HN,Practical Printmaking,1,Partner,7.99,3.99,-2.22,-5.53,4.23
30 Jan 2021 17:27:30 UTC,Order,0U-HO7I-GRV7,Ex-Communication: Superheroes vs Zombies (Ex-Heroes),1,Partner,8.99,0,-2.38,-1.76,4.85
30 Jan 2021 17:45:51 UTC,Order,CZ-WM9Z-0VOR,Felt Decorations,1,Partner,7.99,0,-2.22,-1.76,4.01
30 Jan 2021 19:46:17 UTC,Order,EL-TOLE-MTMG,War And Peas: 1,1,Partner,5.69,0,-1.87,-1.66,2.16
30 Jan 2021 20:07:28 UTC,Order,LM-QINW-V05Y,"""Life on Mars""",1,Partner,5.99,0,-1.92,-2.21,1.86
30 Jan 2021 20:29:17 UTC,Order,A1-LDL7-3FKW,"Of Cats and Men: Profiles of history's great cat-loving artists, writers, thinkers and statesmen",1,Partner,4.99,0,-1.25,-2.21,1.53
30 Jan 2021 20:32:15 UTC,Order,14-PX6V-1P05,Red Azalea,1,Partner,5.25,2.25,-1.8,-1.66,1.79
